Columbia	3	7/20/1928	New York, New York	W146758	1661-D	I'm walking between the raindrops / The Knickerbockers
Columbia	2	1/30/1929	New York, New York	W147907	1719-D	If I had you / Ben Selvin and his Orchestra
Columbia	3	2/5/1929	New York, New York	W147928	1735-D	Have you ever felt that way / Clarence Williams’ Jazz Kings
Columbia	3	12/10/1928	New York, New York	W147405	1760-D	Roses of Picardy / James Melton
Victor	2	7/31/1925	Buenos Aires, Argentina [unconfirmed]	BA-644	79579	Mi querido Agustín / Carabelli Jazz Band
Edison	B	7/6/1923	New York, New York	9062	51219	Say it with a ukulele / Bailey and Bent
Edison	B	7/24/1924	New York, New York	9642	51392	Go 'long mule / Arthur Collins
Edison	B	9/12/1919	New York, New York	6928	50609	Clarinet squawk / Louisiana Five
Edison	C	2/4/1920	New York, New York	7145	50649	My isle of golden dreams / Tuxedo Dance Orchestra
Edison	B	5/27/1920	New York, New York	7370	50681	Ed Wynn carnival. Good-bye sunshine, hello moon! / Helen Clark
Edison	C	5/5/1921		7964	50805	June love. Dear love, my love / Elizabeth Spencer
Edison	C	10/8/1913	New York, New York	2485	50145	American patrol / New York Military Band
Edison	A	2/5/1919	New York, New York	6609	82331	Dreams / Maggie Teyte
Edison	B	8/17/1916	New York, New York	4927	50392	Smiles, then kisses / Waikiki Hawaiian Orchestra
Edison	C	12/14/1915	New York, New York	4340	80313	Kentucky babe / Manhattan Quartet
Edison	C	6/28/1917	New York, New York	5646	80379	Hush-a-bye, ma baby : The Missouri waltz. / Marion Evelyn Cox ; Vernon Dalhart
Edison	A	1/27/1925	New York, New York	9931	80827	Abide with me / Frederick Kinsley
Columbia	1	7/25/1927	New York, New York	W144498	1088-D	Roam on, my little gypsy sweetheart / Irving Kaufman ; The Knickerbockers
Columbia	2	7/8/1927	New York, New York	W144444	1103-D	Play it, Red / Little Ramblers
Columbia	3	4/26/1927	New York, New York	W144051	1116-D	Flutter by, butterfly / Art Gillham ; Southland Syncopators
Columbia	3	5/31/1927	New York, New York	W144242	1119-D	The far-away bells / Franklyn Baur
Columbia	2	9/6/1927	New York, New York	W144629	1129-D	Soliloquy / Don Voorhees Orchestra
Columbia	2	9/14/1927	New York, New York	W144671	1136-D	You only want me when you're lonesome (And nobody else wants you) / Eddie Thomas’ Collegians [Columbians] ; Lewis James
Columbia	2	9/20/1927	New York, New York	W144693	1148-D	It was only a sun shower / California Ramblers ; Ed Kirkeby
Columbia	3	10/4/1927	New York, New York	W144824	1157-D	Liliu e / South Sea Islanders
Columbia	2	9/28/1927	Seattle, Washington	W144718	1168-D	Whether it rains—whether it shines / Billy Ulman ; Vic Meyers Hotel Butler Orchestra
Columbia	3	10/31/1927	New York, New York	W144934	1183-D	The love call. I live, I die for you! / Columbians ; Billy Naken
Columbia	3	9/6/1927	New York, New York	W144625	1229-D	Five pennies / Charleston Chasers ; Red Nichols
Columbia	1	12/20/1927	New York, New York	W145439	1239-D	Girl of my dreams / Seger Ellis
Columbia	3	8/25/1927	New York, New York	W144567	1249-D	On the dreamy Moana shore / South Sea Islanders
Columbia	1	11/29/1927	New York, New York	W145256	1257-D	Chloe : Song of the swamp. / Singing Sophomores
Columbia	5	1/24/1928	New York, New York	W145531	1293-D	Take the air. Lullaby / Kitty O'Connor
Columbia	2	1/25/1928	New York, New York	W145572	1281-D	Gee! I'm glad I'm home / Clicquot Club Eskimos ; Harry Reser ; Tom Stacks
Columbia	3	12/15/1927	New York, New York	W145412	1275-D	Changes / California Ramblers
Columbia	2	1/25/1928	New York, New York	W145584	1328-D	After we kiss / Lee Morse
Columbia	1	12/7/1927	New York, New York	W145283	1302-D	You can tell her anything under the sun (When you get her under the moon) / Van and Schenck
Columbia	3	3/3/1928	New York, New York	W145725	1330-D	Just across the street from heaven / Oscar Grogan
Columbia	2	5/2/1928	Los Angeles, California	W146229	1410-D	You tell me your dream / Charles W. Hamp
Columbia	3	11/5/1928	New York, New York	W147389	1661-D	Buy, buy for baby : Or baby will bye-bye you. / Columbians
Columbia	2	1/14/1929	New York, New York	W147752	1708-D	(I love you—I love you—I love you) Sweetheart of all my dreams / Johnny Morris ; Paul Specht Orchestra
Columbia	6	6/10/1928	New York, New York	W146318	1701-D	Japanese mammy / Paul Whiteman Orchestra
Columbia	4	4/4/1928	New York, New York	W145962	1725-D	Mamzelle Zizi / Edna Thomas
Columbia	3	11/2/1928	New York, New York	W147441	1710-D	I want a "yes" girl / Ed Lowry
Columbia	2	2/13/1929	New York, New York	W147964	1738-D	The Broadway melody [Motion picture]. Broadway melody / Ben Selvin and his Orchestra
Columbia	3	2/11/1929	New York, New York	W147955	1733-D	I'll get by (As long as I have you) / Ruth Etting
Columbia	3	2/27/1929	New York, New York	W148001	1753-D	Riding on the elevated railroad / Frankie Marvin
Columbia	3	3/7/1929	New York, New York	W148037	1761-D	Kansas City kitty / Harry Reser's Syncopators
Columbia	2	1/10/1928	New York, New York	W145497	1294-D	A Connecticut Yankee. Thou swell / Goodrich Silvertown Quartet
Victor	1	11/3/1925	Buenos Aires, Argentina [unconfirmed]	BA-697	79605	El carretero / Agustín Magaldi ; Pedro Noda
Columbia	2	2/28/1925		105490	22016-F	Under Paris broar / Arvid Franzen ; John Lager
Edison	A	1/2/1919	New York, New York	6539	50609	What's this? / Jazzarimba Orchestra
Edison	C	9/17/1920	New York, New York	7533	50714	The Broadway blues / Al Bernard
Columbia	1	10/13/1915	New York, New York	46104	E2603	Hora din Şeghişoara / Petru Laicu Şi Orchestra Lui
Edison	H	4/30/1914		2951	80321	My old Kentucky home / Thomas Chalmers
Edison	C	5/5/1916	New York, New York	4706	50397	Waters of Venice waltz / Jaudas' Society Orchestra
Edison	A	9/1/1916	New York, New York	4966	50404	Kamehameha march / Frank Ferera ; Helen Louise
Edison	H	1/31/1913	New York, New York	1234	80048	Loveland waltzes / American Symphony Orchestra
Columbia	4	7/17/1927	New York, New York	W144461	1095-D	Just call on me / Don Howard ; Leo Reisman Orchestra
Columbia	6	8/25/1927	New York, New York	W144505	1111-D	Song of Hawaii / South Sea Islanders
Columbia	3	9/7/1927	New York, New York	W144637	1124-D	When the morning glories wake up in the morning (Then I'll kiss your two lips good-night) / Don Voorhees Orchestra ; Vincent Van Tuyl
Columbia	2	10/4/1927	New York, New York	W144831	1143-D	Medley of Christmas hymns, Part 2. / Milton Charles
Columbia	3	9/9/1927	New York, New York	W144640	1179-D	Spring song [Lieder ohne Worte, piano, op. 62. Nr. 6 Frühlingslied; arranged] / Robert Hood Bowers ; Columbia Symphony Orchestra
Columbia	3	9/29/1926	New York, New York	W142700	1232-D	The minstrel boy / William A. Kennedy
Columbia	3	12/13/1927	Memphis, Tennessee	W145375	1255-D	Lonely in a crowd / Kenny Sargent
Columbia	2	12/30/1927	New York, New York	W145453	1289-D	Among my souvenirs / The Artist Ensemble
Columbia	2	5/24/1927	New York, New York	W144208	1272-D	The centenarian / Will Fyffe
Columbia	3	1/14/1929	New York, New York	W147779	1707-D	Hold everything!. You're the cream in my coffee / Ruth Etting
Columbia	11	1/11/1929	New York, New York	W147537	1723-D	How about me? / Paul Whiteman Orchestra
Columbia	2	2/5/1929	New York, New York	W147924	1740-D	Guess who? / Jan Garber Orchestra
Columbia	3	2/4/1929	San Francisco, California	W147844	1727-D	Hobo Joe / Pearce Brothers
Victor	2	11/9/1925	Buenos Aires, Argentina [unconfirmed]	BA-702	79608	Olvido / Orquesta Típica Victor
Victor	1	4/30/1925	Buenos Aires, Argentina [unconfirmed]	BA-588	79554	La quita pena / Juan Carlos Marambio Catán ; Alfredo A. Pelaia
