id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24349,"Experience the Wolford House, a Mid Century Hilltop Jewel",98565,Zara,City of Los Angeles,Mount Washington,34.10942,-118.22003,Entire home/apt,305,30,145,2021-09-07,1.87,1,41,25,HSR19-005705
25670,Charming accommodations in Westwood/West LA,107370,Sandra,City of Los Angeles,West Los Angeles,34.04579,-118.44166,Entire home/apt,93,30,19,2021-04-21,0.19,2,359,1,Exempt - This listing is a bed and breakfast
26082,Asian Pacific Suite,11619,Sarah,City of Los Angeles,Woodland Hills,34.1674,-118.64293,Private room,89,30,30,2020-03-12,0.23,6,25,0,
26157,Cozy Bed Room in  Westwood/ West L.A area,107370,Sandra,City of Los Angeles,West Los Angeles,34.04508,-118.44076,Private room,94,30,0,,,2,365,0,Exempt - This listing is a bed and breakfast
28529,2BR DWELL Inspired Escape InThe Sky Peace+Privacy,55411,Hank,City of Los Angeles,Hollywood Hills,34.11212,-118.32526,Entire home/apt,289,5,36,2021-11-16,0.26,9,73,10,HSR19-003405
31237,Charming & cozy room with breakfast!!,134109,Jeffrey,City of Los Angeles,Los Feliz,34.10291,-118.28698,Private room,90,30,186,2018-10-07,1.34,1,365,0,
32850,"Privt CondoApt, Kitchenette, Pool, Gated Prkg,WiFi",130446,Larry Or Carol,City of Los Angeles,Tarzana,34.17309,-118.53169,Entire home/apt,59,76,11,2019-07-20,0.08,1,88,0,
32963,The Zanja Shangri-La,142776,Spencer,Other Cities,Culver City,33.99327,-118.44407,Entire home/apt,175,2,147,2021-11-10,3.37,1,177,13,
33447,Malibu Guest house/ near beach,144837,Patricia,Other Cities,Malibu,34.01451,-118.8064,Entire home/apt,188,30,332,2020-03-16,2.41,1,0,0,
35922,Luxury Beachfront Santa Monica Home,154164,Blu Santa Monica,Other Cities,Santa Monica,34.00774,-118.49441,Entire home/apt,1200,31,0,,,1,365,0,
37036,👨‍👩‍👧‍👦Home Away from 🏡Home🛋️ furnished🛏 Sleeps 4 🌠🌠🌠🌠🌠,159886,Lois,Other Cities,Torrance,33.7996,-118.34894,Entire home/apt,125,30,28,2021-08-21,0.34,6,84,3,
37171,2 rm suite with kitchenette full bath private entr,160505,Charles,City of Los Angeles,Jefferson Park,34.03419,-118.33101,Entire home/apt,106,1,94,2021-10-31,1.41,1,33,5,HSR21-001474
37298,Spacious Soothing Hillside Hideaway Views+Zen Vibe,55411,Hank,City of Los Angeles,Hollywood Hills,34.11319,-118.32303,Entire home/apt,303,5,4,2021-08-21,0.03,9,61,1,HSR19-003405
38365,Hollywood Hills  Private Br Suite-HSR19-004287,3415,Nataraj,City of Los Angeles,Hollywood Hills West,34.10788,-118.37879,Private room,61,30,8,2021-11-02,0.23,4,284,3,
40667,Nice room for a nice price,175264,Michael,City of Los Angeles,Mid-City,34.03926,-118.38017,Private room,59,30,12,2018-08-24,0.09,1,347,0,
43318,Arts District Private Room 212,156094545,Sogo,City of Los Angeles,Downtown,34.04828,-118.23605,Private room,46,2,89,2021-03-26,1.01,15,324,3,
44062,Heart of Hollywood- The Original!,192939,Lisa,City of Los Angeles,Hollywood,34.09385,-118.33157,Entire home/apt,155,31,94,2020-01-04,1.39,3,90,1,
44509,Perfect Bedroom in Nice House with lovely pets!,195656,Leanna,City of Los Angeles,Van Nuys,34.19816,-118.45888,Private room,50,2,76,2021-01-19,0.55,3,22,3,HSR19-001548
44511,"Motel rm $450 week,wifi,micro/fridg",195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,70,1,242,2021-11-29,1.85,7,180,26,
45392,Cute Home in Mount Washington,201514,Olivia & Alexey,City of Los Angeles,Mount Washington,34.10632,-118.22361,Private room,54,30,24,2021-09-30,0.19,1,303,1,
45417,Silver Lake Cottage Oasis- Private Terrace- Thirty Night Min,50231247,Tim,City of Los Angeles,Silver Lake,34.09574,-118.27788,Entire home/apt,135,30,152,2021-08-31,1.67,4,27,4,
46699,"Motel Rm $450week , Free wifi /ac/micro/fridge",195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,70,1,199,2021-12-01,1.56,7,178,27,
46853,Private Silverlake Guesthouse,75052,Janet,City of Los Angeles,East Hollywood,34.08574,-118.28536,Entire home/apt,150,30,263,2020-08-23,3.35,2,365,0,
46858,3 Bed Designer House - Fire Pit Lounge & Hot Tub,210344,Brenna,Other Cities,Culver City,34.01269,-118.40788,Entire home/apt,300,4,157,2021-11-24,1.20,2,40,14,
47537,Malibu Ocean View Rooms for Rent 3,215462,Paul,Other Cities,Malibu,34.0309,-118.75528,Private room,450,2,161,2021-10-25,1.28,5,358,13,STR21-0049
